condition,width,seed,final_train_loss,final_test_loss,final_test_acc
joint,16,42,0.45576377399265766,0.6536554098129272,0.61151123046875
joint,16,43,0.45317887142300606,0.6532588005065918,0.61419677734375
joint,16,44,0.4495616424828768,0.6107989549636841,0.66949462890625
joint,64,42,0.42398849688470364,0.7076364159584045,0.560546875
joint,64,43,0.42129592783749104,0.6943840980529785,0.582855224609375
joint,64,44,0.41849719174206257,0.6651284694671631,0.6143798828125
joint,256,42,0.2958371266722679,1.0204946994781494,0.541717529296875
joint,256,43,0.29335744120180607,1.1274285316467285,0.52001953125
joint,256,44,0.2836404424160719,1.0774450302124023,0.55560302734375
frozen,16,42,0.4689743295311928,0.6386323571205139,0.631317138671875
frozen,16,43,0.4620909336954355,0.6642274856567383,0.595977783203125
frozen,16,44,0.4614392202347517,0.5810401439666748,0.699310302734375
frozen,64,42,0.44020584784448147,0.674871027469635,0.592559814453125
frozen,64,43,0.4351162500679493,0.7007274627685547,0.562042236328125
frozen,64,44,0.4327609147876501,0.6110880374908447,0.663238525390625
frozen,256,42,0.3466590605676174,0.8053884506225586,0.564849853515625
frozen,256,43,0.3496610298752785,0.8513286113739014,0.539337158203125
frozen,256,44,0.3374290093779564,0.7606660723686218,0.603118896484375
