arch,condition,width,seed,n_spectral,n_spatial,final_train_loss,final_test_loss,final_test_acc,peak_test_acc
cnn,joint,16,42,1024,2610,0.4556776098906994,0.6503431797027588,0.61749267578125,0.70452880859375
cnn,joint,16,43,1024,2610,0.45318710431456566,0.6529347896575928,0.613677978515625,0.676055908203125
cnn,joint,16,44,1024,2610,0.44955689646303654,0.6103098392486572,0.671051025390625,0.73431396484375
cnn,joint,64,42,1024,10434,0.42398849688470364,0.7076364159584045,0.560546875,0.697662353515625
cnn,joint,64,43,1024,10434,0.42129592783749104,0.6943840980529785,0.582855224609375,0.68060302734375
cnn,joint,64,44,1024,10434,0.41849719174206257,0.6651284694671631,0.6143798828125,0.730712890625
cnn,joint,256,42,1024,41730,0.2958371266722679,1.0204946994781494,0.541717529296875,0.705780029296875
cnn,joint,256,43,1024,41730,0.29335744120180607,1.1274285316467285,0.52001953125,0.704986572265625
cnn,joint,256,44,1024,41730,0.2836404424160719,1.0774450302124023,0.55560302734375,0.72509765625
cnn,joint,1024,42,1024,166914,0.031227303319610655,2.2108986377716064,0.521759033203125,0.708831787109375
cnn,joint,1024,43,1024,166914,0.030373447225429118,2.5438692569732666,0.513275146484375,0.702789306640625
cnn,joint,1024,44,1024,166914,0.024977772613056004,2.2730729579925537,0.549774169921875,0.7193603515625
cnn,frozen,16,42,1024,2610,0.4689771495759487,0.638666033744812,0.63177490234375,0.64556884765625
cnn,frozen,16,43,1024,2610,0.46207658015191555,0.6640812158584595,0.59637451171875,0.721893310546875
cnn,frozen,16,44,1024,2610,0.4614379946142435,0.5809867978096008,0.69970703125,0.71337890625
cnn,frozen,64,42,1024,10434,0.44020584784448147,0.674871027469635,0.592559814453125,0.647308349609375
cnn,frozen,64,43,1024,10434,0.4351162500679493,0.7007274627685547,0.562042236328125,0.723602294921875
cnn,frozen,64,44,1024,10434,0.4327609147876501,0.6110880374908447,0.663238525390625,0.71356201171875
cnn,frozen,256,42,1024,41730,0.3466590605676174,0.8053884506225586,0.564849853515625,0.6512451171875
cnn,frozen,256,43,1024,41730,0.3496610298752785,0.8513286113739014,0.539337158203125,0.721893310546875
cnn,frozen,256,44,1024,41730,0.3374290093779564,0.7606660723686218,0.603118896484375,0.716796875
cnn,frozen,1024,42,1024,166914,0.15010690595954657,1.215233325958252,0.5291748046875,0.650482177734375
cnn,frozen,1024,43,1024,166914,0.16986402682960033,1.1610708236694336,0.531707763671875,0.7137451171875
cnn,frozen,1024,44,1024,166914,0.13546578399837017,1.082734227180481,0.582794189453125,0.717010498046875
vit,joint,64,42,1024,84546,0.14104174822568893,2.931196928024292,0.49542236328125,0.703582763671875
vit,joint,64,43,1024,84546,0.14938062895089388,2.857853412628174,0.505126953125,0.692840576171875
vit,joint,64,44,1024,84546,0.14311261102557182,3.0952792167663574,0.53460693359375,0.733917236328125
vit,joint,128,42,1024,300162,0.03556946222670376,5.2676591873168945,0.433868408203125,0.7183837890625
vit,joint,128,43,1024,300162,0.02660368592478335,2.6298866271972656,0.620269775390625,0.6888427734375
vit,joint,128,44,1024,300162,0.008030789613258094,4.079697608947754,0.5751953125,0.721527099609375
vit,joint,256,42,1024,1124610,0.020630970073398203,3.5425190925598145,0.5316162109375,0.7169189453125
vit,joint,256,43,1024,1124610,0.022583907819353044,4.502179145812988,0.43902587890625,0.708343505859375
vit,joint,256,44,1024,1124610,0.02360737242270261,2.829397201538086,0.551910400390625,0.734344482421875
vit,frozen,64,42,1024,84546,0.1153509458526969,3.551100254058838,0.526885986328125,0.6348876953125
vit,frozen,64,43,1024,84546,0.1618366315960884,2.3739778995513916,0.548004150390625,0.72039794921875
vit,frozen,64,44,1024,84546,0.11300161341205239,3.719736099243164,0.57379150390625,0.71478271484375
vit,frozen,128,42,1024,300162,0.018109546916093677,4.781347274780273,0.51153564453125,0.62335205078125
vit,frozen,128,43,1024,300162,0.019826950854621828,4.5065016746521,0.5841064453125,0.710540771484375
vit,frozen,128,44,1024,300162,0.020063841016963124,3.645937442779541,0.5880126953125,0.709808349609375
vit,frozen,256,42,1024,1124610,0.0113004898885265,3.6739001274108887,0.51104736328125,0.645904541015625
vit,frozen,256,43,1024,1124610,0.016740570310503244,4.063122749328613,0.537353515625,0.714569091796875
vit,frozen,256,44,1024,1124610,0.015467601479031146,3.7221083641052246,0.534820556640625,0.72381591796875
