width,noise,seed,C_g,C_f,ratio,egr_early_mean,egr_mid_mean,egr_late_mean,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
16,0.05,42,2610,1024,2.548828125,0.14672398176372833,0.1297309062645241,0.20650221521814188,0.0988466377092858,0.047877344054442536,0.7235870361328125,0.751556396484375,0.0279693603515625,0.4611570406705141,0.596787565946579
16,0.05,43,2610,1024,2.548828125,0.13703177075644615,0.112970982181183,0.16564169432590717,0.08115230205298837,0.05587946870345778,0.63697509765625,0.667144775390625,0.030169677734374956,0.45943436212837696,0.6556838572025299
16,0.05,44,2610,1024,2.548828125,0.1428512708453449,0.12447017329956994,0.18972419659699116,0.0962786470385922,0.046572623806752714,0.6433990478515625,0.740203857421875,0.09680480957031246,0.4566791169345379,0.6500533998012543
16,0.1,42,2610,1024,2.548828125,0.185316042800009,0.1785547385721118,0.282710471172492,0.13848345339210832,0.046832589407900665,0.6842315673828125,0.71673583984375,0.032504272460937456,0.4594091735780239,0.6153438210487365
16,0.1,43,2610,1024,2.548828125,0.17229226834899516,0.15526303383615672,0.24388061288824056,0.11327167161560217,0.059020596733392994,0.5587249755859375,0.61907958984375,0.06035461425781252,0.4576283935457468,0.6836319863796234
16,0.1,44,2610,1024,2.548828125,0.18167581134317484,0.1694147460598929,0.274745222464687,0.13167019124544538,0.050005620097729464,0.6721038818359375,0.710418701171875,0.0383148193359375,0.45539527758955956,0.6241099536418915
64,0.05,42,10434,1024,10.189453125,0.18875381448328946,0.16020438292975273,0.23875381075303814,0.12216072051834188,0.06659309396494757,0.6577056884765625,0.730255126953125,0.07254943847656248,0.4518487937748432,0.6230877995491028
64,0.05,43,10434,1024,10.189453125,0.16174752332021686,0.1494766102868565,0.21747921187994976,0.09780883549431633,0.06393868782590052,0.585797119140625,0.735870361328125,0.15007324218749996,0.45021441392600536,0.6706290066242218
64,0.05,44,10434,1024,10.189453125,0.1740787596259361,0.174463967354752,0.2613164306082872,0.1049530368250778,0.06912572280085831,0.542413330078125,0.755126953125,0.21271362304687502,0.44595048390328884,0.6934336245059967
64,0.1,42,10434,1024,10.189453125,0.24085715280573097,0.21019264773279692,0.2449908075383562,0.16646092167871399,0.07439623112701699,0.63297119140625,0.703704833984375,0.07073364257812498,0.43955362029373646,0.6408386826515198
64,0.1,43,10434,1024,10.189453125,0.20720627074967385,0.19368739931737333,0.2240030557112044,0.13170285917001376,0.07550341157966009,0.54869384765625,0.682281494140625,0.13358764648437504,0.4376100171357393,0.6947100043296814
64,0.1,44,10434,1024,10.189453125,0.22884185406264743,0.22338758263968328,0.257710865422738,0.11216177756017742,0.11668007650247,0.602618408203125,0.723480224609375,0.12086181640625004,0.4323170408606529,0.6585312247276306
256,0.05,42,41730,1024,40.751953125,0.23175566502554878,0.23461806531941973,0.20449345250127482,0.16299101932088672,0.06876464570466206,0.620379638671875,0.720794677734375,0.10041503906250004,0.4141085296869278,0.6488872528076172
256,0.05,43,41730,1024,40.751953125,0.2142734005226427,0.1993020704239974,0.1777255799296689,0.08674601045704197,0.12752739006560074,0.5521331787109375,0.754180908203125,0.20204772949218752,0.41440228931605816,0.7176550686359405
256,0.05,44,41730,1024,40.751953125,0.2059216497753286,0.2384975822360827,0.20373946124271225,0.10213834395513767,0.10378330582019092,0.55902099609375,0.75653076171875,0.197509765625,0.40485270507633686,0.6985198974609375
256,0.1,42,41730,1024,40.751953125,0.2666905715537277,0.24197391705128413,0.16504678820383428,0.11906733824633495,0.14762323330739277,0.569580078125,0.708251953125,0.138671875,0.351703193038702,0.754686039686203
256,0.1,43,41730,1024,40.751953125,0.24202945308762178,0.1981640963503664,0.13641313326558127,0.08824050110540775,0.15378895198221404,0.522271728515625,0.70806884765625,0.18579711914062502,0.35395202971994877,0.8452694177627563
256,0.1,44,41730,1024,40.751953125,0.2530626952692635,0.23734279536309943,0.15109147091879044,0.10218235151907959,0.15088034375018392,0.570904541015625,0.718505859375,0.14760131835937496,0.33826884627342224,0.7714098274707795
1024,0.05,42,166914,1024,163.001953125,0.23782159082103754,0.33389097044199223,0.18848059167446032,0.06335148539339175,0.1744701054276458,0.5493927001953125,0.7177734375,0.1683807373046875,0.2593586854636669,1.0388972342014313
1024,0.05,43,166914,1024,163.001953125,0.210429561605556,0.2807321673355209,0.15406496225820734,0.039560610015148,0.17086895159040802,0.5409423828125,0.756988525390625,0.21604614257812504,0.2414562599733472,1.190341293811798
1024,0.05,44,166914,1024,163.001953125,0.2842263624400481,0.35610760569289396,0.16852249399544575,0.048580657730304164,0.23564570470974394,0.52481689453125,0.7548828125,0.23006591796874998,0.20059525594115257,1.404862892627716
1024,0.1,42,166914,1024,163.001953125,0.22606026525114875,0.23360402269843714,0.10454300211857462,0.06341049878724048,0.16264976646390827,0.5489654541015625,0.7047119140625,0.1557464599609375,0.10457682609558105,1.3640348315238953
1024,0.1,43,166914,1024,163.001953125,0.2080944854853366,0.19654766031548282,0.09377085871196454,0.03907708304102029,0.16901740244431632,0.5132415771484375,0.70965576171875,0.19641418457031246,0.1046649138443172,1.5914715886116029
1024,0.1,44,166914,1024,163.001953125,0.2674379463355906,0.20891925993676122,0.10757024063091404,0.049366330459681765,0.21807161587590884,0.5461669921875,0.717681884765625,0.17151489257812502,0.08665616763755679,1.490847384929657
